,time,latitude,longitude
103,2017-07-10 22:26:50.000,-158805267,-480089417
104,2017-07-11 00:59:31.624,-158807334,-480107843
105,2017-07-11 00:59:48.000,-158819583,-480088450
106,2017-07-11 01:00:04.000,-158819550,-480088099
107,2017-07-11 01:06:42.000,-158819117,-480086917
108,2017-07-11 01:06:58.000,-158818750,-480086317
109,2017-07-11 01:07:14.000,-158818900,-480086400
110,2017-07-11 01:07:30.000,-158818833,-480086433
111,2017-07-11 01:07:46.000,-158819217,-480086200
112,2017-07-11 01:08:01.000,-158819150,-480086167
113,2017-07-11 01:08:17.000,-158822600,-480085817
114,2017-07-11 01:08:33.000,-158814900,-480084067
115,2017-07-11 01:08:48.000,-158808600,-480085417
116,2017-07-11 01:09:03.000,-158806333,-480080567
117,2017-07-11 01:09:19.000,-158804700,-480068483
118,2017-07-11 01:09:35.000,-158804917,-480077750
119,2017-07-11 01:09:50.000,-158805983,-480090467
120,2017-07-11 01:10:06.000,-158803050,-480104817
121,2017-07-11 01:10:22.000,-158792167,-480105517
122,2017-07-11 01:10:37.000,-158784067,-480103383
123,2017-07-11 01:10:53.000,-158778400,-480110533
124,2017-07-11 01:11:08.000,-158779950,-480132783
125,2017-07-11 01:11:24.000,-158776200,-480160417
126,2017-07-11 01:11:39.000,-158772000,-480189817
127,2017-07-11 01:11:54.000,-158766967,-480222317
128,2017-07-11 01:12:09.000,-158762050,-480249533
129,2017-07-11 01:12:25.000,-158755367,-480281483
130,2017-07-11 01:12:41.000,-158750633,-480321400
131,2017-07-11 01:12:56.000,-158745083,-480357367
132,2017-07-11 01:13:12.000,-158740017,-480390717
133,2017-07-11 01:13:27.000,-158735617,-480421883
134,2017-07-11 01:13:43.000,-158736933,-480449782
135,2017-07-11 01:13:59.000,-158748750,-480472400
136,2017-07-11 01:14:16.000,-158761333,-480490517
137,2017-07-11 01:14:31.000,-158774450,-480509983
138,2017-07-11 01:14:46.000,-158789167,-480531433
139,2017-07-11 01:15:02.000,-158805700,-480558283
140,2017-07-11 01:15:17.000,-158815183,-480583967
141,2017-07-11 01:15:33.000,-158823567,-480610883
142,2017-07-11 01:15:48.000,-158816500,-480615567
143,2017-07-11 01:16:04.000,-158827717,-480603133
144,2017-07-11 01:16:20.000,-158854800,-480594433
145,2017-07-11 01:16:35.000,-158880883,-480585850
146,2017-07-11 01:16:51.000,-158907017,-480577250
147,2017-07-11 01:17:07.000,-158931850,-480569450
148,2017-07-11 01:17:23.000,-158956433,-480561350
149,2017-07-11 01:17:39.000,-158981117,-480553432
150,2017-07-11 01:17:54.000,-158999333,-480547917
151,2017-07-11 01:18:10.000,-159014600,-480543582
152,2017-07-11 01:18:25.000,-159035283,-480536550
153,2017-07-11 01:18:41.000,-159063067,-480527600
154,2017-07-11 01:18:57.000,-159089917,-480518850
155,2017-07-11 01:19:12.000,-159110700,-480512350
156,2017-07-11 01:19:28.000,-159141500,-480502100
157,2017-07-11 01:19:44.000,-159162883,-480495100
158,2017-07-11 01:20:00.000,-159160767,-480494183
159,2017-07-11 01:20:15.000,-159144150,-480499317
160,2017-07-11 01:20:30.000,-159119483,-480507417
161,2017-07-11 01:22:22.641,-159146793,-480486264
162,2017-07-11 01:24:24.982,-159133797,-480490331
163,2017-07-11 01:26:25.822,-159131569,-480490622
164,2017-07-11 01:28:25.821,-159131271,-480490526
165,2017-07-11 01:30:26.807,-159131409,-480490331
166,2017-07-11 01:32:28.220,-159131500,-480489945
167,2017-07-11 01:34:30.240,-159131110,-480490234
168,2017-07-11 01:36:40.890,-159131110,-480490234
169,2017-07-11 01:38:42.132,-159131225,-480490331
170,2017-07-11 01:40:43.139,-159131212,-480490350
171,2017-07-11 01:42:43.770,-159131179,-480490138
172,2017-07-11 01:44:46.243,-159131409,-480490331
173,2017-07-11 01:46:54.354,-159131409,-480490331
174,2017-07-11 01:49:28.444,-159131225,-480490331
175,2017-07-11 01:51:24.674,-159131225,-480490331
176,2017-07-11 01:52:24.123,-159131393,-480490483
177,2017-07-11 01:54:26.206,-159131730,-480490138
178,2017-07-11 01:56:26.295,-159131409,-480490331
179,2017-07-11 01:58:27.193,-159131225,-480490331
180,2017-07-11 02:00:27.368,-159131615,-480490041
181,2017-07-11 02:02:30.672,-159131363,-480490138
182,2017-07-11 02:04:40.212,-159131363,-480490138
183,2017-07-11 02:06:50.211,-159131110,-480490234
184,2017-07-11 02:08:51.265,-159131363,-480490138
185,2017-07-11 02:10:52.256,-159131546,-480490138
186,2017-07-11 02:12:50.797,-159131110,-480490234
187,2017-07-14 19:17:29.910,-158092584,-479587755
188,2017-07-14 19:17:39.000,-158092100,-479565600
189,2017-07-14 19:17:54.000,-158094567,-479541017
190,2017-07-14 19:18:10.000,-158098533,-479512467
191,2017-07-14 19:18:25.000,-158102467,-479486350
192,2017-07-14 19:18:40.000,-158106183,-479459500
193,2017-07-14 19:18:56.000,-158110517,-479434367
194,2017-07-14 19:19:12.000,-158110717,-479433350
195,2017-07-14 19:19:28.000,-158112483,-479419350
196,2017-07-14 19:19:44.000,-158115967,-479394967
197,2017-07-14 19:19:59.000,-158134883,-479379100
198,2017-07-14 19:22:07.859,-158256978,-479331065
199,2017-07-14 19:24:09.367,-158113222,-479405288
200,2017-07-14 19:26:08.029,-158287864,-479154247
201,2017-07-14 19:26:16.000,-158272200,-479136400
202,2017-07-14 19:26:31.000,-158256517,-479115017
203,2017-07-14 19:26:46.000,-158241733,-479094833
204,2017-07-14 19:29:04.189,-158134884,-478951026
205,2017-07-14 19:30:27.000,-158023550,-478856767
206,2017-07-14 19:30:43.000,-158019150,-478854083
207,2017-07-14 19:41:55.641,-157877713,-478960195
208,2017-07-14 19:42:04.000,-157863000,-479002750
209,2017-07-14 19:42:19.000,-157863133,-479002250
210,2017-07-14 19:42:35.000,-157862350,-479004600
211,2017-07-14 19:42:50.000,-157858100,-479018150
212,2017-07-14 19:55:42.034,-158012374,-479264486
213,2017-07-14 19:55:50.000,-158015133,-479266767
214,2017-07-14 19:56:05.000,-158016467,-479268667
215,2017-07-14 19:56:21.000,-158020767,-479276550
216,2017-07-14 19:56:36.000,-158028233,-479289500
217,2017-07-14 20:00:05.000,-158014517,-479393200
218,2017-07-14 20:00:21.000,-158016700,-479396583
219,2017-07-14 20:00:36.000,-158021183,-479403217
220,2017-07-14 20:00:52.000,-158013533,-479420000
221,2017-07-14 20:01:07.000,-158012283,-479423433
222,2017-07-14 20:01:22.000,-158012167,-479424717
223,2017-07-14 20:01:38.000,-158008500,-479437950
224,2017-07-14 20:01:54.000,-158003100,-479453950
225,2017-07-14 20:02:10.000,-157991267,-479455250
226,2017-07-14 20:02:25.000,-157971683,-479447783
227,2017-07-14 20:02:42.000,-157965950,-479446467
228,2017-07-14 20:02:58.000,-157953467,-479442917
229,2017-07-14 20:03:13.000,-157933450,-479436217
230,2017-07-14 20:03:28.000,-157919250,-479430567
231,2017-07-14 20:03:44.000,-157915333,-479429733
232,2017-07-14 20:03:59.000,-157899983,-479423632
233,2017-07-14 20:04:15.000,-157897133,-479415867
234,2017-07-14 20:04:49.582,-157887286,-479398233
235,2017-07-14 20:04:57.000,-157888250,-479389983
236,2017-07-14 20:05:12.000,-157886167,-479385333
237,2017-07-14 20:05:27.000,-157880083,-479368750
238,2017-07-14 20:05:43.000,-157879650,-479367000
239,2017-07-14 20:05:59.000,-157879017,-479368483
240,2017-07-14 20:06:14.000,-157879417,-479369317
241,2017-07-14 20:06:30.000,-157878367,-479370283
242,2017-07-14 20:06:45.000,-157877117,-479369833
