,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-158082890.0,-478811490.0,"SGA/Sul Quadra 602 Projeção D Parte A, Asa Sul, Brasília - DF, 70200-030, Brasil",Brasilia Music School,2019-03-07 19:42:29.949,2019-03-07 19:54:46.898
1,-157816365.0,-480012873.0,"SCSV Quadra 03 Conjunto 01 Lt 25, St. Oeste - Guará, Brasília - DF, 71255-705, Brasil",Visão Missionária da Última Hora,2019-03-15 18:00:26.214,2019-03-15 19:02:42.387
2,-158355060.0,-480459100.0,"Avenida das Araucárias, Rua 214 Lote 1/17, QS 1 - Taguatinga, Brasília - DF, 72025-120, Brasil",University Center of Brasília - Taguatinga Campus II,2019-03-15 22:01:43.645,2019-03-16 01:05:53.172
3,-158331614.0,-480546031.0,"Taguatinga, Brasília - DF, 72010-070, Brasil",St. Central C 6 - Taguatinga,2019-03-16 02:02:09.000,2019-03-16 02:18:33.039
