,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-158813831.0,-480088752.0,"Av. Cedro, AE 15, QS 16, Riacho Fundo I, Brasília - DF, 71826-006, Brasil",Federal Institute of Brasilia - Campus Riacho Fundo,2017-07-11 00:59:48.000,2017-07-11 01:08:48.000
1,-159133312.0,-480487587.0,"6, Riacho Fundo II-2A Etapa Qc 3 Conjunto 4, 3 - Núcleo Bandeirante, Brasília - DF, 71705-500, Brasil",Parque Riacho 13,2017-07-11 01:24:24.982,2017-07-11 02:12:50.797
2,-157829077.0,-479952312.0,"Qd 01 CONJ 4 LOJA 3, St. Leste - Guará, Brasília - DF, 71261-030, Brasil",La Pizza,2017-07-17 19:10:29.811,2017-07-17 20:10:47.557
3,-158456674.0,-480433040.0,"QS 3 Lote 11 Lojas 4 a 8, Taguatinga, Brasília - DF, 71953-000, Brasil",Na Hora - Taguatinga,2017-07-18 12:47:27.336,2017-07-18 12:53:38.270
4,-157829077.0,-479952312.0,"Qd 01 CONJ 4 LOJA 3, St. Leste - Guará, Brasília - DF, 71261-030, Brasil",La Pizza,2017-07-19 13:37:40.921,2017-07-19 14:06:38.036
5,-158182614.0,-481531182.0,"SH Sol Nascente 128 A Conjunto H, 115 - Ceilândia, Brasília - DF, 72275-170, Brasil",School Class 66 Ceilândia (EC 66),2017-07-25 15:13:33.664,2017-07-25 17:04:35.163
6,-157829077.0,-479952312.0,"Qd 01 CONJ 4 LOJA 3, St. Leste - Guará, Brasília - DF, 71261-030, Brasil",La Pizza,2017-07-25 18:06:14.447,2017-07-25 18:17:17.464
7,-157813777.0,-480015511.0,"SOF Q 14 Conjunto B - Guará, Brasília - Distrito Federal, Brasil",Igreja de Cristo ESTRUTURAL,2017-07-31 22:45:24.511,2017-07-31 23:10:40.072
