,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-157816365.0,-480012873.0,"SCSV Quadra 03 Conjunto 01 Lt 25, St. Oeste - Guará, Brasília - DF, 71255-705, Brasil",Visão Missionária da Última Hora,2017-09-08 14:44:02.274,2017-09-08 15:14:24.659
1,-157595456.0,-478786023.0,"SHC/N EQ. 408/409, BL A, Asa Norte, Brasília - DF, 70855-400, Brasil","BIG BOX Supermercados 408 NORTE: Delivery em Asa Norte, Brasília DF",2017-09-14 15:35:34.000,2017-09-14 19:12:04.600
2,-157631573.0,-478706311.0,"Brasília, DF, 70910-900, Brasil",University of Brasília,2017-09-14 19:49:14.093,2017-09-14 20:03:22.136
