,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-158007912.0,-478876608.0,"SMHS - Área Especial, SMHS Q. 101 - Asa Sul, Brasília - DF, 70330-150, Brasil",Hospital de Base do Distrito Federal,2018-04-05 13:44:05.010,2018-04-05 14:16:00.322
1,-157816365.0,-480012873.0,"SCSV Quadra 03 Conjunto 01 Lt 25, St. Oeste - Guará, Brasília - DF, 71255-705, Brasil",Visão Missionária da Última Hora,2018-04-13 11:12:41.000,2018-04-13 11:34:21.537
2,-157811228.0,-479989832.0,"Av L3 Sul, SGAS, Block 611, Guará, Brasília - DF, 70200-710, Brasil",Seventh-day Adventist Church - Structural City,2018-04-13 11:38:32.495,2018-04-13 11:52:45.930
3,-157829206.0,-479384310.0,"Área Especial F s/n Lote G, Cruzeiro Velho, Brasília - DF, 70640-001, Brasil",CEF 01 do Cruzeiro,2018-04-14 19:50:40.800,2018-04-14 20:02:45.587
