,latitude,longitude,endereco,nome,start_timestamp,end_timestamp
0,-274487630.0,-484237640.0,"Cachoeira do Bom Jesus, Florianópolis - SC, 88056-447, Brasil","Rua Fabriciano Inacio Monteiro, Lote 06 e 07",2018-02-02 14:41:20.000,2018-02-02 23:25:11.000
1,-274303112.0,-484498273.0,"R. Antônio Heil, 212 - Canasvieiras, Florianópolis - SC, 88054-160, Brasil",Residencial Sol e Mar de Floripa,2018-02-03 16:23:00.885,2018-02-03 16:34:01.831
2,-275972714.0,-485502615.0,"Praça XV de Novembro Sala 603 - Rua Arcipreste Paiva, 153 - Centro, Florianópolis - Santa Catarina, 88010-400, Brasil",Circunscrição 1º Ofício de Registro de Imóveis Florianópolis,2018-02-03 17:48:55.000,2018-02-03 17:55:09.000
3,-274303112.0,-484498273.0,"R. Antônio Heil, 212 - Canasvieiras, Florianópolis - SC, 88054-160, Brasil",Residencial Sol e Mar de Floripa,2018-02-04 21:47:01.307,2018-02-04 23:37:12.000
4,-157815514.0,-480011673.0,"Colonia Colonia Agricola Cabeceira Vale, 4 - St. Oeste (Vila Estrutural), Brasília - DF, 71255-605, Brasil","Colonia Colonia Agricola Cabeceira Vale, 4",2018-02-10 10:29:52.000,2018-02-12 00:00:00.000
